id,Text,Polarity,reply
27405,মানুষ যাচ্ছে কারণ এটায় সিয়াম আছে । তুমি কোনো ফ্যাক্টর না এখানে ।,1,
27406,বুট এর লাথি সহ্য করতে পারলে যান ।,1,
27407,একটা গান খুব মনে পড়ছে এই পোস্ট টা দেখে । মনের দুঃখ মনে রইলো রে বুঝলি নারে সোনার চাঁন চন্দ্র সূর্য যত বড় আমার দুঃখ তার সমান ।,1,
27410,তুই না মইরা গেলি ? আবার জিন্দা হইলি কেমনে ?,1,
27424,হ্যাঁ পারবে কারন তিতলি জবা আন্টির কার্বন কপি,1,
27426,পাপন গাড়িয়া নান্নু গাড়িয়া ফারুক গাড়িয়া মাসুদ গাড়িয়া আকরাম গাড়িয়া সব বলদের বাচ্চারা আওয়ামিলীগের । !,1,
27428,আইজ হোওক বা কাইল আমাগো জবা মা রহস্যের সমাধান কইরা ফ্যালাইবেনই,1,
27429,নেক্সট বিসিএসে খুবই কাজে লাগবে,1,
27430,টিক টক লকডাউন ছলচে ।,1,
27431,আমার এলাকায় ধুমছে ইফতার বিক্রি হচ্ছে হুম অনেক কঠিন লকডাউন পালন হচ্ছে,1,
27433,এইতো জবা হওয়ার প্রচেষ্টা শুরু ।,1,
27442,এই সমস্ত উড়াউড়ি দেখিয়ে কি হবে । সব নাটকের ভেলকি বাজি দেখায় আসলে ভিতরে কিছু ই নাই । টিআরপি কমে যাবে বল বানিয়ে স্টার জলসা খেলতে খেলতে মাঠে থেকে বের করে দিবে খেলা শেষ । ফালতু জলসা ফালতু নাটক ।,1,
27452,টিউব লাইটের ব্যবসা ভালোই চলে তাইলে,1,
27457,মাঝে মাঝে নিজের ফিংগার প্রিন্ট ভুলে যায় আমার নিশ্বাপ মন,1,
27461,এই সাত সকাল বেলা চরকি পাক খায়তেছো ক্যা তুমি ?,1,
27462,পথে এবার নামো সাথী গান গাও শ্রীময়ী । তাহলেই তোমার মেয়ে ফিরে আসবে ।,1,
27463,তিন মিনিটে এখানে তেত্রিশ কমেন্ট বাঙালী অলওয়েজ রকস,1,
27464,এই সব বাল ছাল না দিলেও পারতা,1,
27466,বুইড়া মন্ত্রিদের বাদ দিয়ে দেশের মন্ত্রিত্বের পদগুলোতে আপনাদের মত কম বয়সী সঠিক চিন্তা ভাবনার নতুন প্রজন্মের নেতাদের বসানো হলে দেশ উন্নত হয়ে যেত ।,1,
