id,Text,Polarity,reply
10922,ঐ জায়গায় সবাইকে আকাশ দেখানো হবে গোলাপি না পরিষ্কার !,1,আমি কি চামচ দিয়ে আকাশ পরিষ্কার করবো নাকি?
10923,শুধু চলবে না তোর জন্য দৌড়োবে,1,"ওহো হ্যাঁ, আমি দৌড়বো না? ওহ! খুব দুঃখে আছি আপনার জন্য।"
10926,এটাই আসল লিটনের ফ্লাট,1,"ওইওই, কেমন টাইটেন! লিটনের ফ্লাট নাকি মিটনের দোকান?"
10927,পোস্ট কর্তার এক পা চট্টগ্রাম আরেক পা ঢাকা বাইন্দা । পা দুইখান কুমিল্লা বরাবর জুলাইয়া । পাশের দেশ নোয়াখালী থেকে দৌড়ে এসে । গোয়া বরাবর একটা কিক মারা উচিৎ পোস্ট দেওয়ার কারনে ।,1,"ওহো! বুঝলাম, পোস্ট কর্তার পা যেমন দেশভ্রমকারী হলেন, তেমনি তো একটা কিক মারলেই হ"
10928,একদল ইতরের মঞ্চ,1,ওহো! ইতরের মঞ্চে কী বাজার নাকি চুলে মেলেছেন? তোমার ধর্মীয় সমাজের হৃদয়ে এই বিদেশ
10932,না না ওকে মরতেই হবে । তারপর ওর আত্মা এসে সব সামলাবে । হয় আমাদের দাবি মানুন নাহলে জবা কে ফিরিয়ে দিন ।,1,"হ্যাঁ হ্যাঁ, আপনার দাবি মানে দিলাম না কেন? ওর আত্মার কমতি দিনই তো বড় সমস্যা, আমাদের দাব"
10938,আমি ও আমার বাবুতা একে অপরের হাত ধরে যখন ছবি তুলি ।,1,শুধুমাত্র এইটাই ছিল বাঙালিরা বিয়ে বা পিকনিকে ছবি তুলতে হাত ধরে। যেমন তারপর কিছু পর
10941,আবির কি লুচু যে রুপে মজবে?,1,"হ্যা, বেশ লুচু সেই রূপে মজবে আবির! আসলে অনেক মানুষ সেটার পাশাপাশি কেমন মজা পাচ্ছে"
10942,শ্রীলঙ্কার আকাশ ও কি নিউজিল্যান্ডের আকাশের মতই পরিষ্কার হবে ? আকাশ পরিষ্কার হলেতো আমাদের খেলোয়াড়দের ক্যাচ ধরতে অসুবিধা হয়,1,"আসলে আমি মনে করিনি, আকাশ পরিষ্কার হলে আমাদের খেলোয়াড়দের ক্যাচ ধরতে অসুবিধা হবে। ক"
10943,বাংলাদেশের বাঁশ এই দুনিয়া জুড়ে বিখ্যাত । পাকিস্তান এবং ভারতের পর এবার দক্ষিণ আফ্রিকা এসেছে বাঁশ নিতে । বাংলাদেশ দল সব বাঁশ প্রস্তুত তো ? সময়মত কিন্তু ডেলিভারি দিতে হবে । এই বাঁশের জন্য আমরা এখন খুবই গর্বিত ।,1,অবশ্যই! বাংলাদেশের বাঁশ এত বিখ্যাত হওয়ার পর সারা দুনিয়ার দলগুলি এখন একে অন্যের পর
10944,রাইতের বেলা চুরি করতে গিয়ে বেঁচে যাওয়া লোকজন । মুখে কালি দেখেই বুঝে গেছি কে কোন লেভেলের চোর,1,আমার মনে হচ্ছে তোমার জন্যে বিরক্তির একটা লেভেলের চোর আছে! মুখে কালি দেখলেই তো সব
10948,আপা আপনার পক্ষ নিয়া ম্যালা ঝগড়া করলাম কয়দিন আগে । এবার বাইরে ঘুরাঘুরি কম করেন । পরে আবার কিছু হলে পাবলিক সাপোর্ট আর আশা কইরেন না,1,"আইচ, আমার অপরাধে আমার নিজের পক্ষে ম্যালা ঝগড়া করা! ভাইয়া, বাইরে ঘুরাঘুরি কম করি না ত"
10950,আলো নয় আলু আসবেই !,1,"তোমার কথা শুনে নাতোদের বলতে দেই না, আলুর ছেলেটা পিছনে ছোরা দেখেই আসবে।"
10952,বউ এর আদরের জামাই আমাদের ভাইসাব ।,1,"বউ এর আদরের জামাই মাঝে মাঝে বিয়ে করতে থাকে আমাদের ভাইসাব, খুবই শীতল মানুষ।"
10953,আগে বলেন এমন ইংলিশ নিজে লিখছেন নাকি আপনি গুগল ইউজ করেছেন ?,1,"ওহ হ্যাঁ, আমি তেমন একজন সুপার কম্পিউটার যাত্রী যে পুরো ইংলিশ ভাষাটা মাথায় রাখে! খু"
10954,যারা কমেন্ট করছেন দয়া করে বানান ঠিক রাখুন । উত্তেজিত অবস্থায় দ্রুত কমেন্ট করতে গিয়ে বানান ভুল করবেন না আমরা যারা কমেন্ট পড়তে আসি আমাদের পড়তে বেশ অসুবিধা হয় জনস্বার্থে কমেন্ট রিডার এসোসিয়েশন অব বাংলাদেশ ।,1,"আহ হ্যাঁ, বানান ঠিক রাখাই জিনিসটা অসহজ তো না? আমার অনুগ্রহ করে আপনাকে বলতে পারি কিছু"
10955,জবা বাবার জয়,1,ওহো! জবা বাবা জয়! অসাধারণ একটা বিজয়ের সম্মান! মাত্র সময়টাই ছিল যেন শান্ত থাকতে প
10956,পরি তোমার দরবারে সব জ্বীনদের খেলা,1,আহা! ওই খেলায় গায়ে পাগল হয়ে উঠলে তুমি নিজেই জীবনে খেলা করার দরবারে পৌঁছবে।
10957,ভুল বোঝাবুঝি মিটলেতো খুবই ভালো আর না হলে জুলু তোমার আর লীনা পিসির খবর আছে হমম,1,"আচ্ছা বুঝলাম, তুমি হতাশ না হলে আমি বিশ্বাস করছি জুলু এবং লীনা একসাথে পিসি খেলছে"
10960,"গ্রামের চাচাতো বোন যখন জীবনে প্রথম প্লেনে উঠে তখন এমন হাল হয় , হেহেহে।",1,ওহো! আমার কখনো চাচাতো বোন এমন হালে যাচ্ছেন না শুনেছি। শুধুমাত্র প্লেনে যাওয়ার পরে
10961,চুল গুলাহ সরাও বাবু ! প্রমিস দেখেই ডিলেট করে দিব,1,"আচ্ছা বাবু, আপনি চুল গুলাও সরাতে চান? বড় করে আপনার পরিস্কারতা মতেন আপনার স্বাভাবিক আছে"
10962,বিন্দাই দিমু কইলাম রিপ্লে চাই পাশা ভাই,1,"ওহ হ্যাঁ, আমি তোমার কাছে রিপ্লাই দিতেছি আমার একাউন্টে বিন্দুই দেওয়ার জন্য! কয়েকটা"
10964,কাকলি বাস মালিক সমিতির পক্ষ থেকে আতিক ভাইকে এক বালতি শুভেচ্ছা,1,ওহো! এখন কি তোমার মাঝেই বালতি শুভেচ্ছা দেওয়ার দায়িত্ব পড়ে গেছে? কিন্তু হাইল
10969,আবারও একটা ন্যাকা ন্যাকা সিরিয়াল শুরু হতে চলেছে । শুরু তো হবে কিন্তু শেষ যে কোথায় গিয়ে কার মাথা আর কার মুন্ডু শেষ হবে সেটাই দেখার বিষয়,1,"আবারও ন্যাকা ন্যাকা সিরিয়াল? ঠিক আছে, আবারও বাজারে বিক্রি করার জন্য নতুন কিছু চাইছেন মানে"
10971,বিমানের জানালার পাশে বসে হাওয়া খেতে খেতে থাইল্যান্ড যাচ্ছিলাম আর মোবাইল গুতাচ্ছিলাম । হঠাৎ আপনার পোস্ট টা আমার চোখে পড়ে । পোস্ট পড়ে হাসির চোটে মোবাইল টা আমার হাত থেকে পড়ে গেল । কিন্তু আমাকে তো হাহা দিতে হবে । জীবনের মায়া ভুলে লাফ দিলাম মোবাইলের পিছে পিছে । পাঁচ মিনিট উড়ার পর উত্তর বিষুব রেখা বরাবর পঁয়তাল্লিশ ডিগ্রী অক্ষ্যাংসে ভূ তাপীয় অঞ্চলে এসে মোবাইলের নাগাল পাইলাম । সাথে সাথেই পোস্টে হাহা রিএক্ট দিয়ে দিলাম । এখন শান্তি লাগতাছে । এখনো নিচের দিকে পড়তেছি । নিচে সাগর দেখা যাচ্ছে । ওইতো সাগরের হাঙ্গরেরা হা করে আছে আমাকে খাওয়ার জন্য । আমি মনে হয় আর বাচবোনা কিন্তু কোনো আফসোস নেই আমার । আমি এই পোস্টে হাহা দিতে পেরেছি ।,1,"ওহ বাবা! এত ভালো করে তাইল্যান্ডে যাচ্ছেন, মোবাইলও খুব সুন্দর একটা কাজ করছিল! আর আমি"
10975,দাদা তুমি হিরো আলোম ডানাকাটা পরি নোবেল চাইলে বাংলাদেশ থেকে চিরোতরে করনা কে বিদায় দিতে পারো কেন যে কাজ টা করছো না ?,1,"আমি এতো কিন্তু আলোম ডানাকাটা দিয়ে নোবেল নিতে যেতেছি না। এতো কিন্তু ইচ্ছা আছে, ত"
10978,বাড়ির পাশে নারিকেল গাছ লম্বা লম্বা পাতা জলু যখন বাশ খায় মনে লাগে ব্যাথা আহা মনে লাগে ব্যাথা,1,"আমি দেখি তোমার প্রেমে সেই নারিকেল গাছ তোমাকে কিছুই বলছে না, সেই তোপস ধরে তুই মনে"
10979,এবার ওষুধের পরিবর্তে নাচ দেখিয়ে রোগী সুস্থ করা হবে । কাজেই মেডিকেল কলেজগুলোতে নাচের প্রশিক্ষণ দেওয়ার জোর দাবি জানাই ।,1,অবশ্যই! নাচ দেখিয়ে হাঁটতে পারা আর রোগী সুস্থ হতে পারলে আর কি আপনার চাইতে পারে? তাই
10985,বাগানে ফুল ফোটে ফুলে থাকে কুড়ি পৃথিবী উল্টাইয়া গেলে ও পরি মনি হবে না বুড়ি,1,ওইওই! ফুল ফুটবে কেন? কুড়ি পৃথিবী উল্টানো গেলে ওই বুড়ি কি সেই কারণে মনি হব
10986,ঠাকুরগাঁও শহরে ঈদের আমেজ চলছে । করোনা থাকুক না থাকুক শপিং থাকবেই হ্যাপী শপিং ডে,1,"ওহো! হ্যাঁ, করোনা থাকুক না থাকুক, বানিজ্যিক মনে আমার মতো লোকজনের স্বাদ আছে! এতো সু"
10989,ডোজ তোমার ঐ জায়গায় দাও,1,"আচ্ছা, আমার কাছে যেতে শ্রম করতে হবে এই দোজ টি নিয়ে!"
10991,ভোটে দাড়িয়ে কাকে হারাবে মোদিকে নাকি মমতাদি কে ?,1,"আমি তো বলে দিবো, দুইকেই হারানোর আদায়কারী খুব ফাঁকা!"
10993,নিরুপমার জন্য ভাঙ্গাবাসা,1,ওহ সার্কাস্টিক! জানোঃ নিরুপমার জন্য ভাঙ্গাবাসা না দিলে হত্যার মামলাটা কেমন হয়!
10995,জয়াপুউউউ ! এক টা ছেংগা আসতেছে । উঠো উঠো উঠো । ঘাসে শুইসো কেনো ?,1,হ্যাহ্যাহ্যা! তারমাতো ছেংগা কি তুই দেখছিস? এতো অসাধারণ ঘাসের প্রতি তোমার বিশ্বাস কি
10996,আর কিছু লাগবে না আফা তিস্তা ডা দেলেই চলবে,1,"ওহ আমি তো ভুলেই গেছিলাম, আপনি এমন একটা জাদুকর!"
11005,তারাতারি সুস্থ হয়ে ফিরে এসো দলের জন্য দেশের জন্য ক্রিকেটের জন্য । আর ঐদিন শিরোনামে দেখলাম তোমার হারিয়ে যাওয়া টিটুয়েন্টি শ্রেষ্ঠত্ত কে যেন কুরিয়ে পেয়েছে তোমাকে খুজছে ফেরত দেওয়ার জন্য !,1,"ওহো! আরে যেমন একটা এলোমেলো ভাষা বললে আমার মুখ খুলে গেল না, ওরে গোস্তো! তুমি"
11007,প্রথম আলোর কজন সাংবাদিককে ওদের সাহায্যে পাঠিয়ে দেওয়া হোক ।,1,আমার মনে আর ডাকতার লাগবে সাহায্যে পাঠাতে।
11009,"করোনা ভাইরাসের পরিচিতি নাম করোনা, ডাক নাম ভাইরাস ,উপনাম কভিড ,পিতার নাম চীন, মায়ের নাম ইতালি, জি এফ ভারত ফ্রাস",1,ওহো! আরেকটা খুব জনপ্রিয় পরিবার এলো আমাদের জীবনে। তাইই তো এত ভালো লাগে! 😷🌍🤣
11010,বেশি পাকলে যা হয় ।,1,আহা! হয়তো মানুষ ব্রিকেট হয়ে জাবে না।
11012,হাত দিয়ে যা ছুই সেটাই বিল্ডিং হয়ে যায় ।,1,"আরে সত্যিই কথা বললেন! চলুন, আপনি অগ্নিপরীক্ষার সময় আসুন।"
11025,নাসির নামে ছেলে গুলো এমন ক্যা? হ্যাংলা সবগুলি।,1,"আবার কি অবশ্যই নাসির নামে হ্যাংলা হতে হবে? দুঃখিত, মানুষগুলো আর অসাধারণ নাম নিয়ে"
11027,আচ্ছা এদের বয়স হয় না ? বৌ থেকে মা তারপর শাশুড়ি এখন ঠাকুমা হয়ে গেছে আর দেখতে লাগছে সুইট ষোল কোন দেশের লজিক ভাই এটা ? আর এই তন্দ্রার একবার মুখ পাল্টে গিয়েছিলো না ? আবার আগের মুখ আর জবা আসলে কি বোম স্কোয়ার্ডের লোক নাকি উকিল কখন যা তা যুক্তি দিয়ে কেস জিতছে কখন বোম কাটছে আর এরা লেখা পড়া না করে কি ভাবে এতো ভালো পোস্ট হোল্ড করে ?,1,"ওহো, সুন্দর! ঔষধ কোথায় পাইলে বাবা-মা শাশূড়ি হয়ে যায় তার কোনো সম্ভাবনা নেই!"
11032,প্রথম আলোর এই সম্পাদক একটা ফালতু লোক । এই ময়দার বস্তা টাকে নিয়া প্রতিবেদন করার কোন দরকার ছিল ?,1,"আহা, সাধারণত মানুষের কাছে কোন মন্দ গুণ নেই এমন হাতিয়ার হলে নিজেই সাধারণ হয়ে যায়। ক"
11035,যেদিন মাসুদ ভাল হয়ে যাবে ওইদিন শিক্ষা প্রতিষ্ঠান খুলবে ।,1,ওহো! মাসুদের খুশি দেখার জন্যই মানে একটা শিক্ষা প্রতিষ্ঠান খুলবে? এর আগে কেন কেউ খু
11039,নিউ টাইটেল ট্রেক দাও জলু আর কতো বাতাসে গুনগুন করবে বলো,1,কেন জলুর জন্য বাতাস গুনগুন করব? বাতাসের পাপড় খাইয়ে কি করবে?
11043,সাকিব কে কলকাতা নাইট রাইর্ডাস পরের ম্যাচে না নামাইলে কলকাতাকে খাইয়া ফালাইমু ।,1,"হা হা, খাইতে খাইতে কলকাতা নেংটা ফালাইমু হবে না অনেক দিনের স্বাদ আসবে!"
11046,আমরা চাই কেও জেনো আমাদের সেই সুন্দর ডিপি টা দেখে অজ্ঞান হয়ে না যায়,1,"হ্যাঁ, আমি ওই সুন্দর ডিপি টা দেখে অজ্ঞান হয়ে না যায়, আমি শুধুমাত্র তা দেখে ডাইনোসর হ"
11050,এটা কি রোহিঙ্গা পরী নাকি?,1,"না না, এটা হল দেশের সবচেয়ে খাঁটি পাঁঠার জীবনী।"
11052,ভাই তোমারে বহু আগে কৃমির ওষুধ খাইতে অনুরোধ করছিলাম । এত কষ্ট কইরা ওজন কমাইতে পারলা ওষুধটা খাইতে পারলানা আজো?,1,"আরে ভাই, সে কৃমির ওষুধ খেলে ওজন কমা হতো না হতো, কিন্তু তুমি যত্ন করে ওষুধটা খে"
11053,পৃথিবীতে বাঁচতে চাই না চাঁদের দেশে গিয়ে বাঁচতে চাই,1,"ওহো আপনি তো তারকার সাথে বাঁচতে চান! খুব ভালো, আপনার মজার প্রয়াসে সবাই আপনার জন্য অপ"
11055,এতে কি প্রথম আলোর কষ্ট হচ্ছে ?,1,"ওহ হ্যাঁ, প্রথম আলোর কষ্ট হচ্ছে চোখে পাত্তার মধ্যে দুনিয়া বোসে ঘুমানো আর উঠানো!"
11058,কোন মাঠে আপনাদের জয় ছাড়া অন্য কিছু লক্ষ্য থাকে একটু বলেন তো ! কিন্তু আলটিমেটলি আপনারা কি নিয়ে ফিরেন ? বড় একটা আন্ডা !,1,আবার একটা আন্ডা নিয়ে এত উদ্যমিতা? আসলে এত দুঃখজনক কিছু নেই মাঠের বাইরে?
11059,সুদ কে ভালোবাসারই অপর নাম ক্রেডিট কার্ড,1,হ্যা ইতো তো সবাই জানে! দারুণ কথা বললেও আর কেউ ভালোবাসবে না। কার্ড না থাকলে বিপন্ন ব
11060,এমন ভাবে বলছে যেন মনে হচ্ছে ওরা দুজনেই ভিন গ্রহের প্রাণী পৃথিবীতে সংসার করতে এসেছে ।,1,ওই তো এখানে ভিন গ্রহের সংসারের হল শিরোনাম! আর কোন মজা নেই নাকি?
