id,Text,Polarity,reply
17503,আপনার নিজের কপাল তো খারাপই ছিল । ,0,
17505,আঙুলটা দেখার পর সর্বপ্রথম ব্যাথাটা কলিজায় লাগে ।,0,
17506,নবিজী সা বলেছেন যে ব্যক্তি মানুষের প্রতি দয়া করে না আল্লাহ তার প্রতি দয়া করেন না । বুখারি শরিফ ।,0,
17507,এতো বড় মাপের একজন আদব কায়দা বিহীন মানুষের কন্ঠে কখনো মুগ্ধ হয়েছিলাম এই কথা স্বীকার করতেও এখন গা গোলাচ্ছে ।,0,
17508,ভাগ্যশ্রী পড়েছিল একটা ছোট্ট টিপ ওটা কি করে অতবড় সিঁদুরের টিপ হয়ে গেল বুঝলাম না ঠিক।,0,
17510,মানবিক দিক বিবেচনা করে খালেদা আরাফাকে সীমিত আকারে সব মামলা খালাস করে দেয়া হোক মরার আগে বেচারি একটু শান্তিতে মরতে দেয়া উচিৎ।,0,
17511,বাস্তবে এতো সুন্দর নয়।,0,
17513,দুই দিনের জন্য পর্যটন কেন্দ্র গুলো খুলে দেওয়া হোক্ । কক্সবাজার ও সাজেক যাবো ।,0,
17515,যারা সাহায্যের হাত বাড়িয়ে দিয়েছেন আল্লাহ তাদের উত্তম প্রতিদান দান করুন ।,0,
17516,কেন জানি তার পরও একদল লোক বলে স্যারের কন্ঠ সুরের সাথে করোনার অনেক মিল কেননা সে সুর নাকি সরাসরি ফুসফুসে আঘাত করে।,0,
17517,হায় আল্লাহ ! ভেবেছিলাম উনি হয়তো বেঁচে গেছে।,0,
17518,রাত সাড়ে আটটার দিকে শিশু উন্নয়ন কেন্দ্রের লোকজন এক কিশোরকে হাসপাতালে নিয়ে যান ।,0,
17521,চিন্তার কারন নেই । এক আইনের আওতায় আনা হবে । দুই জড়িত কাউকেই ছাড় দেয়া হবে না । তিন অপরাধী যে দলেরই হোক পার পাবে না । চার তিন সদস্যের তদন্ত কমিটি গঠন করা হয়েছে । পাঁচ অপরাধীর কোনো দলীয় পরিচয় নেই অপরাধী অপরাধীই । ছয় কঠোর ব্যাবস্থা নেয়া হবে ।,0,
17522,চারু আবার এসব নাচ শিখলো কবে?,0,
17523,নারীরা কেন বেশি জাহান্নামি এর কারণও হাদিসের শেষে বলা হয়েছে ।,0,
17526,আমাকে আপনার বন্ধু করে পাওনা ভাই।,0,
17529,এভাবে একা একা রাস্তায় বসে থাকবেন না আপু মানুষজন ভালো না বাসায় যান।,0,
17530,দেশে প্রতি বছর এমন হাজারটা কারখানায় আগুন লাগে । ঝরে পরে কিছু নিরীহ গরিব মানুষের প্রাণ । এর সঠিক সুষ্ঠু বিচার আর তদন্ত হবার আগেই আবার চালু হয় এসব কারখানা ।,0,
17531,মোটরসাইকেল ফুয়েল ট্যাংক ব্যাগ ।,0,
17533,প্রথম আলো ছবির প্রচার করছে কারন কি ? হিরো আলমের আরবি গানের প্রচার কই ?,0,
17534,অন্য দেশের দয়ার দিকে তাকিয়ে না থেকে দেশে স্থায়ী ব্যবস্থা হলে আমার পকেট কিভাবে বোঝাই করবো ? সুইচ ব্যাংকে ডলারের মজুদ কিভাবে করবো ?,0,
17536,অপরাধের শাস্তি হওয়া উচিত ।,0,
17537,যা হয় ভালোর জন্যই হয় । বালা মসিবত যিনি দিবেন তিনিই আমাদের হেফাজত করবেন । আল্লাহ ভরসা ।,0,
17539,যেমন সুন্দর কন্ঠ তেমনি সুন্দর গান অনেক ভালো লাগলো ভাই । এমন প্রতিবার মানুষগুলোকে তুলে আনার জন্য অনেক অনেক ধন্যবাদ । ওরা পারবে ভাই ওরায় মেড ইন বাংলাদেশ ।,0,
17541,সরকার তার নাগরিকের স্পায়িং করার টুলস কিনতে পারে কিনা ? সরকার তার নাগরিকদের ট্যাক্সের টাকায় টেন্ডার ছাড়াই কোনো কিছু গোপনে কিনতে পারে কিনা !,0,
17542,ভালোবাসা সোহাগ ভাইয়ের জন্য যার চ্যানেলের জন্য অন্যরকম পাঠশালা ইন্টার জীবনে অসম্ভব সাহায্য মিলছে !,0,
17543,হাতুড়ি সিং ভাল কোচ না সে নাসির বিজয় কে বসিয়ে সৌম্য আর মুসাদ্দেক কে খেলাইছে।,0,
17545,নির্বাচক কমিটিদের শ্রদ্ধা জানাই ।,0,
17546,এদের বিচারের আওতায় আনা উচিৎ।,0,
17547,বসে বসে খাইতে খাইতে তো শরীরের সব তেল চর্বি জমে গিয়ে বিভিন্ন রোগের সুতিকাগার হয়ে যাবে ।,0,
17549,করোনা হাসপাতালে বিনা মূল্যে খাবার দিচ্ছে রেড ক্রিসেন্ট।,0,
17550,এই গরমে তোমায় দেখে একটু ঠান্ডা অনুভব করতেছি ।,0,
17551,সকলকে ঈদের শুভেচ্ছা ঈদ মোবারক সাথে সমগ্র মুসলিম বিশ্বকে এক হবার আহ্বান জানাচ্ছি।,0,
17553,কৃপা বাসু খুব মহান ব্যক্তি । ,0,
17554,হেফাজতকে পুরোপুরি মিটিয়েই তো সমাধানের পথ খুঁজতে হবে।,0,
17555,জিভে পানি চলে আসছে।,0,
17556,এখন কি কেউ মানব বন্ধন করবে না ?,0,
17557,এত সুন্দর সুন্দর রোমান্টিক গল্প থাকতে রবীন্দ্রনাথ কবিগুরু কাজী নজরুল ইসলাম এরা কেন যে এত বড় বড় গল্প লিখেছিল আমি তাই বুঝতে পারলাম না !,0,
17559,ওগো নিরুপমার পরিচালক কে মহিলা না পুরুষ বুঝতে পারছিনা কোন কারনে বিয়ের খরচ দাবী করছে ছেলের বাড়ি বুঝিয়ে বলতে পারবেন পরিচালক মহেদয় উল্টা পাল্টা শুরু করেছেন দেখা শুরু করছিলাম নিরুপমা যতসব গাজাখুরী কহিনী আবীর বাবু ফকির হয়ে গেছে রাস্তায় গিয়ে বসলেই হয় দেখতে শুনতে ভালো আছে আয় ভালো হবে আমি কিন্তু দিবনা ছোটলোক ফকিরকে ভিক্ষা দেইনা মোহনী আবীর শেষমেশ নিরুপমার বাড়িতে যেতে হলো দিয়ে দাও নিরুপমা কারন মধ্যবৃত্ত মানুষগুলো মেরুদন্ডহীন না আর পরিচালক বলছি বাস্তববিকতা নিয়ে আসুন আপনার সিরিয়ালে যা মন চায় তাই দেখাবেন তা দেখবো না,0,
17560,আমি পাই নাই বুবু । আমারটা খাইলো কে ?,0,
17563,এরে জোর করে ধরে সেলিব্রিটি বানানোর কোন দরকার আছে কি ?,0,
17564,তা তো ভালো । ভিনদেশি থাকবে কেন !,0,
17565,ক্যারিয়ারের সবচেয়ে বাজে ফিটনেসে আছে ।,0,
17567,যারা এখানে বাজে কমেন্ট করেছে তাদেরকে আইনের আওতায় আনা উচিৎ ।,0,
17568,মালদ্বীপে হবে এই অনুষ্ঠান।,0,
17569,তোমার চলে যাওয়াটা আমায় মারাত্মক এক ব্যাধিতে ফেলেছে এখন আমার কিছুই ভালোলাগেনা না তোমাকে না পৃথিবী ।,0,
